"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C14,C1,C13,C15";"CAP_EEUFS2A151_PAN";4;"EEUFS2A151";;;
2;"C8,C7,C4,C11,C12,C6,C9,C3,C2,C10,C5";"CAPC3225X270N";11;"GRM32EC72A106KE05L";;;
3;"Q13,Q8,Q11";"TO-92_Inline";3;"2N5087";;;
4;"D1,D2";"DPAK_SBRD10200_6P6X6P1_SDS";2;"SBRD10200TR";;;
5;"Q3,Q4,Q5,Q6,Q2,Q9,Q14,Q1,Q15";"PowerPAK_SO-8_Single";9;"Si7336ADP";;;
6;"J4,J2,J6,J1,J3";"CONN_1935789_PXC";5;"1935789";;;
7;"Q7,Q10,Q12";"TO-92_Inline";3;"2N5210";;;
8;"R7,R4,R2,R1,R8,R3,R9";"RES_1206_OHM";7;"MCS1632R010FER";;;
9;"Jumper2,Jumper1";"STA_JW60_STP";2;"STA_JW60_STP";;;
10;"J5";"SAMTEC_ESQ-120-XX-X-D-XX";1;"ESQ-120-XX-X-D-XX";;;
11;"R5";"RC1206N_VIS";1;"CRCW12061M00FKEA";;;
12;"FL1";"LIND_1-4_2-3_WE-CMBNC_TYPE-M_WRE";1;"7448031002";;;
13;"R6";"RES_V1206_VIS";1;"CRCW12062R43FKEA";;;
